title,genre1,genre2,genre3
Better Call Saul,Crime, Drama,
Cyberpunk: Edgerunners,Animation, Action, Adventure
Grey's Anatomy,Drama, Romance,
The Accidental Narco,Action, Biography, Crime
Ozark,Crime, Drama, Thriller
Suits,Comedy, Drama,
Seinfeld,Comedy,,
Partner Track,Drama,,
Brooklyn Nine-Nine,Comedy, Crime,
Attack on Titan,Animation, Action, Adventure
Manifest,Drama, Mystery, Sci-Fi
Locke & Key,Drama, Fantasy, Horror
Day Shift,Action, Comedy, Fantasy
Sex Education,Comedy, Drama,
The Lord of the Rings: The Return of the King,Action, Adventure, Drama
The Vampire Diaries,Drama, Fantasy, Horror
Family Guy,Animation, Comedy,
Fargo,Crime, Drama, Thriller
Animal Kingdom,Crime, Drama,
Diario de un Gigoló,Drama,,
How I Met Your Mother,Comedy, Romance,
Community,Comedy,,
Daredevil,Action, Crime, Drama
Blue Bloods,Crime, Drama, Mystery
Bee and PuppyCat,Animation, Short, Action
Loving Adults,Crime, Drama, Thriller
Schitt's Creek,Comedy,,
Sing 2,Animation, Adventure, Comedy
RRR,Action, Drama,
Arcane,Animation, Action, Adventure
The Lord of the Rings: The Two Towers,Action, Adventure, Drama
All Quiet on the Western Front,Action, Drama, War
American Psycho,Crime, Drama, Horror
The Hobbit: An Unexpected Journey,Adventure, Fantasy,
Kleo,Action, Crime, Drama
Sons of Anarchy,Crime, Drama, Thriller
Mad Men,Drama,,
Archer,Animation, Action, Comedy
Dahmer - Monster: The Jeffrey Dahmer Story,Biography, Crime, Drama
Mr. Robot,Crime, Drama, Thriller
That '70s Show,Comedy, Drama, Romance
You,Crime, Drama, Romance
Look Both Ways,Comedy, Drama, Romance
365 Days,Drama, Romance,
I Used to Be Famous,Comedy, Drama, Music
Titanic,Drama, Romance,
Sherlock,Crime, Drama, Mystery
New Girl,Comedy, Romance,
The Expanse,Drama, Mystery, Sci-Fi
Purple Hearts,Drama, Music, Romance
The Gentlemen,Action, Comedy, Crime
The Good Doctor,Drama,,
Downton Abbey,Drama, Romance,
Extraordinary Attorney Woo,Drama,,
Smallville,Action, Adventure, Drama
Star Trek: The Next Generation,Action, Adventure, Sci-Fi
Orange Is the New Black,Comedy, Crime, Drama
Jurassic Park,Action, Adventure, Sci-Fi
Prison Break,Action, Crime, Drama
Billions,Drama,,
Once Upon a Time,Adventure, Fantasy, Romance
Jaws,Adventure, Thriller,
The Catholic School,Drama,,
South Park,Animation, Comedy,
Clueless,Comedy, Romance,
Chesapeake Shores,Drama, Family,
Demon Slayer: Kimetsu no Yaiba,Animation, Action, Adventure
Pretty Little Liars,Drama, Mystery, Romance
Mindhunter,Crime, Drama, Mystery
"Murder, She Wrote",Crime, Drama, Mystery
From,Drama, Horror, Mystery
Spiderhead,Action, Crime, Drama
CSI: Crime Scene Investigation,Crime, Drama, Mystery
Evil,Crime, Drama, Horror
Arrested Development,Comedy,,
Heartland,Drama, Family,
It,Horror,,
Narcos,Biography, Crime, Drama
Homeland,Crime, Drama, Mystery
The Haunting of Hill House,Drama, Horror, Mystery
Doc Martin,Comedy, Drama, Romance
Hawaii Five-0,Action, Crime, Drama
Star Trek: The Original Series,Action, Adventure, Sci-Fi
The Next 365 Days,Drama, Romance,
Don't Look Up,Comedy, Drama, Sci-Fi
Murdoch Mysteries,Crime, Drama, Mystery
The Good Wife,Crime, Drama, Mystery
Shadow and Bone,Action, Adventure, Drama
Sex/Life,Comedy, Drama, Romance
Gladiator,Action, Adventure, Drama
The Punisher,Action, Crime, Drama
"Roswell, New Mexico",Drama, Romance, Sci-Fi
Taxi Driver,Crime, Drama,
Teen Wolf,Action, Drama, Fantasy
Vikings: Valhalla,Action, Adventure, Drama
New Amsterdam,Drama,,
Léon: The Professional,Action, Crime, Drama
Arrow,Action, Adventure, Crime
The Good Nurse,Biography, Crime, Drama
Agents of S.H.I.E.L.D.,Action, Adventure, Drama
Mother!,Drama, Horror, Mystery
Hustle,Comedy, Drama, Sport
365 Days: This Day,Drama, Romance,
Cheers,Comedy, Drama,
Line of Duty,Crime, Drama, Mystery
Pieces of Her,Crime, Drama, Mystery
The Departed,Crime, Drama, Thriller
Star Wars: The Clone Wars,Animation, Action, Adventure
Star Trek: Deep Space Nine,Action, Adventure, Drama
Spider-Man,Action, Adventure, Sci-Fi
Santo,Action, Crime, Drama
Delhi Crime,Crime, Drama,
House of Cards,Drama,,
American Crime Story,Biography, Crime, Drama
Glee,Comedy, Drama, Music
Brooklyn,Drama, Romance,
The Americans,Crime, Drama, Mystery
Gotham,Action, Crime, Drama
Gossip Girl,Drama, Romance,
Gone Girl,Drama, Mystery, Thriller
Twin Peaks,Crime, Drama, Mystery
The Poison Rose,Crime, Mystery, Thriller
Hannibal,Crime, Drama, Horror
Star Trek: Voyager,Action, Adventure, Sci-Fi
NCIS: Los Angeles,Action, Crime, Drama
Persuasion,Drama, Romance,
Jogi,Drama, History, Thriller
How to Get Away with Murder,Crime, Drama, Mystery
Uncoupled,Comedy, Drama, Romance
Longmire,Action, Crime, Drama
The Anthrax Attacks,Documentary, Crime,
White Collar,Comedy, Crime, Drama
Derry Girls,Comedy,,
El Camino: A Breaking Bad Movie,Action, Crime, Drama
Anatomy of a Scandal,Drama, Thriller,
A Knight's Tale,Action, Adventure, Romance
Baywatch,Action, Comedy, Crime
Broad Peak,Adventure, Biography, Drama
Grimm,Crime, Drama, Fantasy
The Sea Beast,Animation, Adventure, Comedy
Operation Mincemeat,Drama, War,
Alchemy of Souls,Action, Drama, Fantasy
Chip 'n Dale: Rescue Rangers,Animation, Adventure, Comedy
Wedding Season,Comedy, Romance,
Black Sails,Action, Adventure, Drama
Knock Knock,Drama, Thriller,
Elementary,Crime, Drama, Mystery
Maid,Drama,,
The King,Biography, Drama, History
The Adam Project,Action, Adventure, Comedy
Top Boy,Crime, Drama, Thriller
Emily in Paris,Comedy, Drama, Romance
Grease,Comedy, Musical, Romance
Sicario,Action, Crime, Drama
The Devil All the Time,Crime, Drama, Thriller
The Fall,Crime, Drama, Thriller
Legally Blonde,Comedy, Romance,
2001: A Space Odyssey,Adventure, Sci-Fi,
The Little Things,Crime, Drama, Mystery
The Guilty,Crime, Drama, Thriller
Naruto,Animation, Action, Adventure
Broadchurch,Crime, Drama, Mystery
Scorpion,Action, Crime, Drama
Spirited Away,Animation, Adventure, Family
Adventure Time,Animation, Action, Adventure
The Nice Guys,Action, Comedy, Crime
Designated Survivor,Action, Drama, Mystery
Dracula,Action, Drama, Fantasy
300,Action, Drama,
That's Amor,Comedy, Romance,
Resident Evil,Action, Horror, Sci-Fi
The Man from Toronto,Action, Adventure, Comedy
The Killing,Crime, Drama, Mystery
The Power of the Dog,Drama, Romance, Western
Baby Driver,Action, Crime, Drama
My Hero Academia,Animation, Action, Adventure
Arrival,Drama, Mystery, Sci-Fi
Dead Poets Society,Comedy, Drama,
The House,Animation, Comedy, Drama
Skins,Drama,,
Bardo,Comedy, Drama,
Wendell & Wild,Animation, Adventure, Comedy
The Woman in the House,Comedy, Crime, Drama
Kill Bill: Vol. 1,Action, Crime, Drama
Uncut Gems,Crime, Drama, Thriller
Annihilation,Adventure, Drama, Horror
The Mummy,Action, Adventure, Fantasy
Orphan Black,Drama, Sci-Fi, Thriller
Altered Carbon,Action, Drama, Sci-Fi
Zero Dark Thirty,Drama, History, Thriller
The Irishman,Biography, Crime, Drama
Jurassic World: Fallen Kingdom,Action, Adventure, Sci-Fi
Chilling Adventures of Sabrina,Drama, Fantasy, Horror
Booksmart,Comedy,,
Heartbreak High,Drama, Romance,
The Revenant,Action, Adventure, Drama
Red Notice,Action, Comedy, Thriller
Jessica Jones,Action, Crime, Drama
Frozen,Animation, Adventure, Comedy
Jane the Virgin,Comedy,,
Incantation,Horror, Mystery,
Queen of the South,Action, Crime, Drama
Godless,Action, Drama, Western
Fullmetal Alchemist: Brotherhood,Animation, Action, Adventure
Ray Donovan,Crime, Drama,
Wind River,Crime, Drama, Mystery
Jumanji: The Next Level,Action, Adventure, Comedy
Fakes,Comedy,,
The IT Crowd,Comedy,,
Heartstopper,Drama, Romance,
Zodiac,Crime, Drama, Mystery
Iron Fist,Action, Adventure, Crime
Merlí. Sapere Aude,Comedy, Drama,
The Affair,Drama,,
Unbelievable,Crime, Drama,
Enola Holmes,Action, Adventure, Crime
Pirates of the Caribbean: Dead Men Tell No Tales,Action, Adventure, Fantasy
Bates Motel,Drama, Horror, Mystery
Jujutsu Kaisen,Animation, Action, Adventure
Star Trek: Enterprise,Action, Adventure, Drama
Run,Mystery, Thriller,
The Green Knight,Adventure, Drama, Fantasy
All of Us Are Dead,Action, Drama, Fantasy
Jumanji: Welcome to the Jungle,Action, Adventure, Comedy
"El Rey, Vicente Fernández",Biography, Drama, Music
Luther,Crime, Drama, Mystery
Fauda,Action, Drama, Thriller
Hubie Halloween,Comedy, Mystery,
Borgen,Drama,,
Marcella,Crime, Drama, Mystery
Reign,Drama,,
Love Between Fairy and Devil,Comedy, Fantasy, Romance
Freaks and Geeks,Comedy, Drama,
High Heat,Drama,,
Workin' Moms,Comedy, Drama,
Poldark,Drama, Romance,
Penny Dreadful,Drama, Fantasy, Horror
Medici,Biography, Drama, History
Your Name.,Animation, Drama, Fantasy
Venom,Action, Adventure, Sci-Fi
Californication,Comedy, Drama,
The Platform,Horror, Sci-Fi, Thriller
Interceptor,Action, Adventure, Drama
Shadowhunters,Action, Drama, Fantasy
Tropic Thunder,Action, Comedy, War
Howl's Moving Castle,Animation, Adventure, Family
iZombie,Comedy, Crime, Drama
SPY×FAMILY,Animation, Action, Comedy
Fighting with My Family,Biography, Comedy, Drama
Captain America: Civil War,Action, Adventure, Sci-Fi
The Ranch,Comedy, Drama, Western
Will & Grace,Comedy, Romance,
I'm Thinking of Ending Things,Drama, Thriller,
The Wonder,Drama, Mystery, Thriller
Black Clover,Animation, Action, Adventure
Below Deck Mediterranean,Reality-TV,,
Lost in Space,Adventure, Drama, Family
The Forgotten Battle,Drama, War,
A Cinderella Story,Comedy, Family, Romance
6 Underground,Action, Thriller,
Happy Valley,Crime, Drama, Thriller
Public Enemies,Action, Biography, Crime
Sausage Party,Animation, Adventure, Comedy
The Invitation,Drama, Horror, Mystery
Paddington 2,Adventure, Comedy, Family
Shameless,Comedy, Crime, Drama
The Girl in the Mirror,Drama, Horror, Mystery
Terrifier,Horror, Thriller,
The Blues Brothers,Action, Adventure, Comedy
Merlí,Comedy, Drama, Romance
Polar,Action, Thriller,
The Unforgivable,Crime, Drama,
King Arthur: Legend of the Sword,Action, Adventure, Drama
The Impossible,Adventure, Drama, History
Vinland Saga,Animation, Action, Adventure
Spider-Man: Far from Home,Action, Adventure, Sci-Fi
The Ballad of Buster Scruggs,Comedy, Drama, Musical
Madam Secretary,Drama, Thriller,
Willy Wonka & the Chocolate Factory,Family, Fantasy, Musical
Full House,Comedy, Drama, Family
La jefa,Drama,,
The Vault,Action, Adventure, Thriller
Pieces of a Woman,Drama,,
Nashville,Drama, Music, Romance
Footloose,Drama, Music, Romance
Gerald's Game,Drama, Horror, Thriller
Charlie's Angels,Action, Adventure, Comedy
Sense8,Drama, Mystery, Sci-Fi
Travelers,Drama, Mystery, Sci-Fi
The Lost Daughter,Drama,,
Miraculous: Tales of Ladybug & Cat Noir,Animation, Action, Adventure
Texas Chainsaw Massacre,Crime, Horror, Thriller
Senior Year,Comedy,,
"Bastard!! Heavy Metal, Dark Fantasy",Animation, Action, Adventure
Castlevania,Animation, Action, Adventure
Step Brothers,Comedy,,
Castle Rock,Drama, Fantasy, Horror
The Harder They Fall,Action, Drama, Western
The OA,Drama, Fantasy, Mystery
Below Her Mouth,Drama, Romance,
Fear Street: Part One - 1994,Drama, Horror, Mystery
Birdman or (The Unexpected Virtue of Ignorance),Comedy, Drama,
Beauty and the Beast,Animation, Family, Fantasy
Moonlight,Drama,,
Dirilis: Ertugrul,Action, Adventure, Drama
National Lampoon's Animal House,Comedy,,
Crash Landing on You,Adventure, Comedy, Romance
Archive 81,Drama, Horror, Mystery
Trailer Park Boys,Comedy, Crime,
Misfits,Comedy, Drama, Fantasy
Ratched,Crime, Drama, History
GLOW,Comedy, Drama, Sport
Skyggen i mit øje,Drama, History, War
Shooter,Action, Drama,
Drifting Home,Animation, Adventure, Drama
Keep Breathing,Adventure, Drama, Thriller
The Bubble,Comedy,,
Bloodline,Drama, Thriller,
Get Smart with Money,Documentary,,
Marriage Story,Drama, Romance,
A Series of Unfortunate Events,Adventure, Comedy, Drama
Hell or High Water,Crime, Drama, Thriller
Dark Desire,Drama, Mystery, Thriller
The Human Centipede (First Sequence),Horror,,
Ghost,Drama, Fantasy, Romance
Army of the Dead,Action, Crime, Horror
Lawrence of Arabia,Adventure, Biography, Drama
The Lost World: Jurassic Park,Action, Adventure, Sci-Fi
Cowboy Bebop,Animation, Action, Adventure
Ocean's Eight,Action, Comedy, Crime
Gods of Egypt,Action, Adventure, Fantasy
The Bold Type,Comedy, Drama,
Atypical,Comedy, Drama,
3rd Rock from the Sun,Comedy, Family, Sci-Fi
Mars Attacks!,Comedy, Sci-Fi,
Kong: Skull Island,Action, Adventure, Fantasy
There's Something About Mary,Comedy, Romance,
