title,year
Better Call Saul,2015
Cyberpunk: Edgerunners,2022
Grey's Anatomy,2005
The Accidental Narco,2022
Ozark,2017
Suits,2011
Seinfeld,1989
Partner Track,2022
Brooklyn Nine-Nine,2013
Attack on Titan,2013
Manifest,2018
Locke & Key,2020
Day Shift,2022
Sex Education,2019
The Lord of the Rings: The Return of the King,2003
The Vampire Diaries,2009
Family Guy,1999
Fargo,2014
Animal Kingdom,2016
Diario de un Gigoló,2022
How I Met Your Mother,2005
Community,2009
Daredevil,2015
Blue Bloods,2010
Bee and PuppyCat,2013
Loving Adults,2022
Schitt's Creek,2015
Sing 2,2021
RRR,2022
Arcane,2021
The Lord of the Rings: The Two Towers,2002
All Quiet on the Western Front,2022
American Psycho,2000
The Hobbit: An Unexpected Journey,2012
Kleo,2022
Sons of Anarchy,2008
Mad Men,2007
Archer,2009
Dahmer - Monster: The Jeffrey Dahmer Story,2022
Mr. Robot,2015
That '70s Show,1998
You,2018
Look Both Ways,2022
365 Days,2020
I Used to Be Famous,2022
Titanic,1997
Sherlock,2010
New Girl,2011
The Expanse,2015
Purple Hearts,2022
The Gentlemen,2019
The Good Doctor,2017
Downton Abbey,2010
Extraordinary Attorney Woo,2022
Smallville,2001
Star Trek: The Next Generation,1987
Orange Is the New Black,2013
Jurassic Park,1993
Prison Break,2005
Billions,2016
Once Upon a Time,2011
Jaws,1975
The Catholic School,2021
South Park,1997
Clueless,1995
Chesapeake Shores,2016
Demon Slayer: Kimetsu no Yaiba,2019
Pretty Little Liars,2010
Mindhunter,2017
"Murder, She Wrote",1984
From,2022
Spiderhead,2022
CSI: Crime Scene Investigation,2000
Evil,2019
Arrested Development,2003
Heartland,2007
It,2017
Narcos,2015
Homeland,2011
The Haunting of Hill House,2018
Doc Martin,2004
Hawaii Five-0,2010
Star Trek: The Original Series,1966
The Next 365 Days,2022
Don't Look Up,2021
Murdoch Mysteries,2008
The Good Wife,2009
Shadow and Bone,2021
Sex/Life,2021
Gladiator,2000
The Punisher,2017
"Roswell, New Mexico",2019
Taxi Driver,1976
Teen Wolf,2011
Vikings: Valhalla,2022
New Amsterdam,2018
Léon: The Professional,1994
Arrow,2012
The Good Nurse,2022
Agents of S.H.I.E.L.D.,2013
Mother!,2017
Hustle,2022
365 Days: This Day,2022
Cheers,1982
Line of Duty,2012
Pieces of Her,2022
The Departed,2006
Star Wars: The Clone Wars,2008
Star Trek: Deep Space Nine,1993
Spider-Man,2002
Santo,2022
Delhi Crime,2019
House of Cards,2013
American Crime Story,2016
Glee,2009
Brooklyn,2015
The Americans,2013
Gotham,2014
Gossip Girl,2007
Gone Girl,2014
Twin Peaks,1990
The Poison Rose,2019
Hannibal,2013
Star Trek: Voyager,1995
NCIS: Los Angeles,2009
Persuasion,2022
Jogi,2022
How to Get Away with Murder,2014
Uncoupled,2022
Longmire,2012
The Anthrax Attacks,2022
White Collar,2009
Derry Girls,2018
El Camino: A Breaking Bad Movie,2019
Anatomy of a Scandal,2022
A Knight's Tale,2001
Baywatch,2017
Broad Peak,2022
Grimm,2011
The Sea Beast,2022
Operation Mincemeat,2021
Alchemy of Souls,2022
Chip 'n Dale: Rescue Rangers,2022
Wedding Season,2022
Black Sails,2014
Knock Knock,2015
Elementary,2012
Maid,2021
The King,2019
The Adam Project,2022
Top Boy,2011
Emily in Paris,2020
Grease,1978
Sicario,2015
The Devil All the Time,2020
The Fall,2013
Legally Blonde,2001
2001: A Space Odyssey,1968
The Little Things,2021
The Guilty,2021
Naruto,2002
Broadchurch,2013
Scorpion,2014
Spirited Away,2001
Adventure Time,2010
The Nice Guys,2016
Designated Survivor,2016
Dracula,2020
300,2006
That's Amor,2022
Resident Evil,2022
The Man from Toronto,2022
The Killing,2011
The Power of the Dog,2021
Baby Driver,2017
My Hero Academia,2016
Arrival,2016
Dead Poets Society,1989
The House,2022
Skins,2007
Bardo,2022
Wendell & Wild,2022
The Woman in the House,2022
Kill Bill: Vol. 1,2003
Uncut Gems,2019
Annihilation,2018
The Mummy,2017
Orphan Black,2013
Altered Carbon,2018
Zero Dark Thirty,2012
The Irishman,2019
Jurassic World: Fallen Kingdom,2018
Chilling Adventures of Sabrina,2018
Booksmart,2019
Heartbreak High,1994
The Revenant,2015
Red Notice,2021
Jessica Jones,2015
Frozen,2013
Jane the Virgin,2014
Incantation,2022
Queen of the South,2016
Godless,2017
Fullmetal Alchemist: Brotherhood,2009
Ray Donovan,2013
Wind River,2017
Jumanji: The Next Level,2019
Fakes,2022
The IT Crowd,2006
Heartstopper,2022
Zodiac,2007
Iron Fist,2017
Merlí. Sapere Aude,2019
The Affair,2014
Unbelievable,2019
Enola Holmes,2020
Pirates of the Caribbean: Dead Men Tell No Tales,2017
Bates Motel,2013
Jujutsu Kaisen,2020
Star Trek: Enterprise,2001
Run,2020
The Green Knight,2021
All of Us Are Dead,2022
Jumanji: Welcome to the Jungle,2017
"El Rey, Vicente Fernández",2022
Luther,2010
Fauda,2015
Hubie Halloween,2020
Borgen,2010
Marcella,2016
Reign,2013
Love Between Fairy and Devil,2022
Freaks and Geeks,1999
High Heat,2022
Workin' Moms,2017
Poldark,2015
Penny Dreadful,2014
Medici,2016
Your Name.,2016
Venom,2018
Californication,2007
The Platform,2019
Interceptor,2022
Shadowhunters,2016
Tropic Thunder,2008
Howl's Moving Castle,2004
iZombie,2015
SPY×FAMILY,2022
Fighting with My Family,2019
Captain America: Civil War,2016
The Ranch,2016
Will & Grace,1998
I'm Thinking of Ending Things,2020
The Wonder,2022
Black Clover,2017
Below Deck Mediterranean,2016
Lost in Space,2018
The Forgotten Battle,2020
A Cinderella Story,2004
6 Underground,2019
Happy Valley,2014
Public Enemies,2009
Sausage Party,2016
The Invitation,2015
Paddington 2,2017
Shameless,2004
The Girl in the Mirror,2022
Terrifier,2016
The Blues Brothers,1980
Merlí,2015
Polar,2019
The Unforgivable,2021
King Arthur: Legend of the Sword,2017
The Impossible,2012
Vinland Saga,2019
Spider-Man: Far from Home,2019
The Ballad of Buster Scruggs,2018
Madam Secretary,2014
Willy Wonka & the Chocolate Factory,1971
Full House,1987
La jefa,2022
The Vault,2021
Pieces of a Woman,2020
Nashville,2012
Footloose,1984
Gerald's Game,2017
Charlie's Angels,2019
Sense8,2015
Travelers,2016
The Lost Daughter,2021
Miraculous: Tales of Ladybug & Cat Noir,2015
Texas Chainsaw Massacre,2022
Senior Year,2022
"Bastard!! Heavy Metal, Dark Fantasy",2022
Castlevania,2017
Step Brothers,2008
Castle Rock,2018
The Harder They Fall,2021
The OA,2016
Below Her Mouth,2016
Fear Street: Part One - 1994,2021
Birdman or (The Unexpected Virtue of Ignorance),2014
Beauty and the Beast,1991
Moonlight,2016
Dirilis: Ertugrul,2014
National Lampoon's Animal House,1978
Crash Landing on You,2019
Archive 81,2022
Trailer Park Boys,2001
Misfits,2009
Ratched,2020
GLOW,2017
Skyggen i mit øje,2021
Shooter,2016
Drifting Home,2022
Keep Breathing,2022
The Bubble,2022
Bloodline,2015
Get Smart with Money,2022
Marriage Story,2019
A Series of Unfortunate Events,2017
Hell or High Water,2016
Dark Desire,2020
The Human Centipede (First Sequence),2009
Ghost,1990
Army of the Dead,2021
Lawrence of Arabia,1962
The Lost World: Jurassic Park,1997
Cowboy Bebop,1998
Ocean's Eight,2018
Gods of Egypt,2016
The Bold Type,2017
Atypical,2017
3rd Rock from the Sun,1996
Mars Attacks!,1996
Kong: Skull Island,2017
There's Something About Mary,1998
Don't Breathe,2016
Now You See Me,2013
One Of Us Is Lying,2021
Monty Python and the Holy Grail,1975
Batman v Superman: Dawn of Justice,2016
Climax,2018
The Old Guard,2020
"tick, tick... BOOM!",2021
Alice in Borderland,2020
Gilmore Girls: A Year in the Life,2016
Carter,2022
The Babysitter,2017
Outlaw King,2018
Despicable Me 2,2013
Good Witch,2015
Extraction,2020
Cleveland Abduction,2015
Army of Thieves,2021
Selling the OC,2022
Dawson's Creek,1998
12 Strong,2018
Lone Survivor,2013
Into the Night,2020
